Entity;Gscore;Droit_de_lHomme;Liberte_economique;Inegalite_des_genres;Proportion_denfants_harceles;Corruption;Taux_alphabetisation;HDI;Annees_detudes;Espérance_vie;Budget_militaire_from_GPD;Sous_alimentation;Acces_Internet_pers;Acces_electricite_pers;Pop_urban;Pop_rural
Norway;9,87;4,003323819;7,57088482;0,052999999;23;84; ;0,953;12,6;82,404;1,684120191;2,5;96,3576013;100;4463566;915909
Oman;3,04;0,806570325;6,749671402;0,28099999;47;52;93,971649;0,821;9,5;77,861;8,761275759;7,8;80,18563573;100;4405789;700833
Pakistan;4,17;-1,581048329;5,993016925;0,546;41;33;56,440311;0,562;5,2;67,273;3,976950712;12,3;17,10514586;73,91436005;82094635;138797696
Palestine;4,39; ; ; ;56; ;96,668037;0,686;9,1;74,053; ; ;65,2;100;3685020;1118249
Panama;7,05;2,205342238;7,566113507;0,45699999;22;37;95,038231;0,789;10,2;78,506;0;6,9;59,9506309;95,83455658;2951905;1362863
Papua New Guinea;6,03;0,31711269;6,268588715;0,59500003;56,9;28;63,433491;0,544;4,6;64,501;0,372887893; ;11,20919659;63,46451187;1193981;7753046
Paraguay;6,24;0,696920668;6,93248077;0,46399999;39,8;29;95,53611;0,702;8,4;74,254;0,986209173;8,8;61,07575622;100;4435221;2697309
Peru;6,6;0,740837126;7,439497099;0,38499999;47;35;94,374352;0,75;9,2;76,736;1,166978075;6,7;50,45041218;98,34660339;25815966;7155880
Philippines;6,71;-2,131015039;7,347101298;0,43599999;48;36;96,618027;0,699;9,3;71,231;0,958761785;14,5;60,05476033;95,62862396;51950201;57630884
Poland;6,67;1,815505193;7,26956524;0,13699999;24;60;99,787422;0,865;12,3;78,73;2,022693273;2,5;75,98536595;100;22786800;15164002
Portugal;7,84;1,939209809;7,496775811;0,090999998;37;64;95,428108;0,847;9,2;82,049;1,936662596;2,5;73,79121395;100;6833619;3471945
Qatar;3,19;1,671422665;7,467956558;0,542;42;62;97,757088;0,856;9,8;80,227; ; ;97,38884917;100;2859020;22040
