Countries;GPD;Gender_Gap;Ethnic;Linguistic;Religious;Science_and_Technology;Culture;International_Peace_and_Security;World_Order;Planet_and_Climate;Prosperity_and_Equality;Health_and_Well_being;Emigrants;Suicide_Both_sexes;Suicide_Men;Suicide_Women;National_power;Population;Poverty_pct;HDI;Corruption;Terrorism;Gscore
 Kiribati;1,638;N/A;0,0511;0,0237;0,5541;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4,37;15,2;25,9;5,4;0,000002;117606;21,8;0,63;N/A;N/A;
 Micronesia;3,855;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;41,2;0,62;N/A;N/A;
 Yemen;645;0,494;0;0,008;0,0023;108;155;157;128;125;137;119;1267,61;N/A;N/A;N/A;0,001518;29161922;48,6;0,47;15;7,581;1,95
 Bahamas_The;30,027;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
 Gambia_The;746;0,628;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;48,6;N/A;N/A;N/A;4,31
 Nauru;8,867;N/A;0,5832;0,6161;0,6194;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2,421;N/A;N/A;N/A;0;10756;N/A;N/A;N/A;N/A;
 San_Marino;41,683;N/A;0,2927;0;0,1975;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2,425;N/A;N/A;N/A;0,000003;3386;N/A;N/A;N/A;N/A;
 Aruba;20,31;N/A;0;0,3889;0,4107;N/A;N/A;N/A;N/A;N/A;N/A;N/A;19,64;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
 Côte_d'Ivoire;2,281;0,606;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1114,003;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4,15
 Puerto_Rico;30,113;N/A;0;0,0352;0,4952;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2007,347;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
 Macau;38,769;N/A;0;0,2519;0,5511;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
